id_factura,id_producto,cantidad,precio_unitario
1,5,1,2.50
1,9,3,180.00
1,4,3,25.00
2,12,1,130.00
2,11,2,120.00
3,1,1,250.00
3,10,3,125.00
4,9,2,180.00
4,3,3,100.00
5,3,1,100.00
5,11,3,120.00
5,2,1,350.00
6,11,3,120.00
7,2,1,350.00
8,11,2,120.00
8,5,1,2.50
8,7,2,8.00
9,9,3,180.00
10,2,3,350.00
10,4,3,25.00
11,11,2,120.00
11,6,2,3.00
11,10,3,125.00
12,4,3,25.00
12,8,3,225.00
12,6,2,3.00
13,9,1,180.00
13,5,1,2.50
14,7,1,8.00
15,10,3,125.00
15,12,3,130.00
16,10,2,125.00
17,10,2,125.00
18,11,1,120.00
19,10,2,125.00
20,5,1,2.50
20,8,2,225.00
20,7,1,8.00
20,2,3,350.00
21,3,3,100.00
22,6,1,3.00
22,2,1,350.00
22,1,3,250.00
23,3,1,100.00
23,3,2,100.00
24,10,1,125.00
25,2,3,350.00
26,12,3,130.00
27,3,3,100.00
28,6,1,3.00
28,6,2,3.00
29,1,3,250.00
29,8,3,225.00
29,7,1,8.00
30,8,1,225.00
30,12,2,130.00
30,8,1,225.00
31,5,2,2.50
31,1,3,250.00
31,10,1,125.00
32,11,3,120.00
33,2,1,350.00
34,6,3,3.00
34,4,3,25.00
34,2,1,350.00
35,10,3,125.00
36,7,3,8.00
37,9,2,180.00
37,8,3,225.00
37,2,1,350.00
38,4,1,25.00
39,12,3,130.00
39,3,2,100.00
39,11,2,120.00
40,3,3,100.00
40,7,2,8.00
41,4,3,25.00
41,10,3,125.00
42,7,3,8.00
42,4,2,25.00
42,9,3,180.00
43,7,2,8.00
44,2,3,350.00
44,12,3,130.00
44,12,2,130.00
45,9,1,180.00
45,6,2,3.00
45,6,2,3.00
46,10,1,125.00
47,4,3,25.00
47,3,2,100.00
47,9,2,180.00
48,5,1,2.50
49,7,1,8.00
49,8,3,225.00
49,4,2,25.00
49,5,3,2.50
50,9,2,180.00
50,9,1,180.00
51,1,1,250.00
51,1,2,250.00
51,4,2,25.00
52,5,1,2.50
52,7,3,8.00
52,2,3,350.00
52,11,2,120.00
53,9,1,180.00
53,5,1,2.50
54,4,1,25.00
54,7,3,8.00
55,8,1,225.00
56,7,2,8.00
57,7,2,8.00
57,4,1,25.00
58,8,3,225.00
58,8,1,225.00
58,10,2,125.00
59,6,1,3.00
60,2,2,350.00
60,7,1,8.00
60,5,2,2.50
61,12,3,130.00
61,8,2,225.00
61,4,3,25.00
62,11,2,120.00
62,3,2,100.00
63,12,1,130.00
63,9,3,180.00
64,10,1,125.00
64,6,1,3.00
64,4,2,25.00
64,6,3,3.00
65,11,1,120.00
65,2,2,350.00
65,5,2,2.50
65,8,2,225.00
66,6,1,3.00
67,1,1,250.00
68,6,3,3.00
68,3,1,100.00
68,3,2,100.00
68,12,2,130.00
69,1,1,250.00
70,1,1,250.00
71,7,1,8.00
71,2,2,350.00
72,12,1,130.00
72,8,1,225.00
72,9,3,180.00
72,6,2,3.00
73,10,3,125.00
73,1,2,250.00
73,2,2,350.00
74,8,1,225.00
74,1,2,250.00
74,12,3,130.00
74,9,3,180.00
75,12,1,130.00
75,7,2,8.00
75,5,1,2.50
76,3,2,100.00
77,4,2,25.00
77,11,1,120.00
78,5,3,2.50
78,1,1,250.00
78,12,2,130.00
78,2,1,350.00
79,5,3,2.50
80,7,1,8.00
80,8,2,225.00
81,11,1,120.00
81,10,2,125.00
82,12,1,130.00
82,8,1,225.00
82,8,2,225.00
82,1,1,250.00
83,8,2,225.00
83,6,3,3.00
84,12,1,130.00
84,3,2,100.00
85,4,3,25.00
86,8,3,225.00
87,5,1,2.50
88,6,1,3.00
89,7,3,8.00
89,5,3,2.50
90,2,3,350.00
91,10,1,125.00
91,12,3,130.00
92,6,3,3.00
93,8,3,225.00
93,8,3,225.00
93,12,1,130.00
94,2,2,350.00
95,5,2,2.50
96,8,3,225.00
96,3,3,100.00
97,1,2,250.00
97,12,2,130.00
97,9,2,180.00
98,8,1,225.00
98,8,2,225.00
98,5,3,2.50
98,4,1,25.00
99,9,2,180.00
99,8,2,225.00
99,8,3,225.00
99,4,3,25.00
100,8,1,225.00
100,12,1,130.00
100,12,1,130.00
100,8,3,225.00
101,12,3,130.00
102,8,1,225.00
102,8,1,225.00
102,11,1,120.00
102,11,2,120.00
103,10,2,125.00
103,3,1,100.00
103,8,2,225.00
103,9,2,180.00
104,10,2,125.00
104,8,1,225.00
105,9,2,180.00
105,8,2,225.00
105,10,2,125.00
105,1,2,250.00
106,12,3,130.00
106,2,2,350.00
106,8,3,225.00
106,7,1,8.00
107,8,1,225.00
107,5,1,2.50
107,7,2,8.00
107,10,3,125.00
108,12,2,130.00
108,8,2,225.00
108,8,2,225.00
108,5,1,2.50
109,5,1,2.50
110,3,3,100.00
110,7,1,8.00
110,5,1,2.50
110,1,3,250.00
111,10,2,125.00
111,4,3,25.00
111,1,2,250.00
111,9,1,180.00
112,4,2,25.00
112,5,2,2.50
112,3,1,100.00
113,8,3,225.00
114,6,3,3.00
115,12,3,130.00
115,12,1,130.00
115,11,3,120.00
116,6,1,3.00
116,2,1,350.00
117,5,1,2.50
118,10,2,125.00
118,1,1,250.00
119,10,1,125.00
119,2,3,350.00
119,9,2,180.00
119,2,1,350.00
120,6,1,3.00
121,10,1,125.00
121,4,1,25.00
121,9,1,180.00
121,10,1,125.00
122,2,2,350.00
122,6,1,3.00
123,1,3,250.00
123,6,3,3.00
123,5,1,2.50
123,2,3,350.00
124,5,3,2.50
125,9,3,180.00
125,12,2,130.00
125,2,3,350.00
126,8,3,225.00
127,1,1,250.00
127,12,1,130.00
127,3,1,100.00
128,9,3,180.00
129,11,3,120.00
130,2,1,350.00
131,7,2,8.00
131,10,2,125.00
131,4,1,25.00
132,3,2,100.00
132,2,2,350.00
132,6,1,3.00
133,1,2,250.00
133,12,2,130.00
134,6,2,3.00
134,5,3,2.50
134,3,3,100.00
135,2,1,350.00
135,7,3,8.00
135,11,3,120.00
136,12,3,130.00
137,2,3,350.00
138,9,2,180.00
139,11,1,120.00
139,10,3,125.00
140,2,3,350.00
140,11,2,120.00
140,9,3,180.00
140,4,1,25.00
141,5,3,2.50
141,12,2,130.00
142,1,3,250.00
143,9,1,180.00
143,10,2,125.00
144,4,2,25.00
144,9,3,180.00
144,9,2,180.00
145,3,3,100.00
145,8,1,225.00
145,12,3,130.00
146,5,2,2.50
147,9,2,180.00
148,3,2,100.00
149,11,3,120.00
149,7,1,8.00
149,5,2,2.50
150,4,2,25.00
150,6,3,3.00
151,10,1,125.00
151,11,3,120.00
152,8,2,225.00
152,10,1,125.00
152,6,3,3.00
153,10,1,125.00
154,9,1,180.00
154,10,3,125.00
154,7,2,8.00
155,1,1,250.00
155,11,3,120.00
155,2,2,350.00
156,10,1,125.00
157,9,2,180.00
157,11,3,120.00
157,10,1,125.00
158,8,3,225.00
158,11,1,120.00
158,1,1,250.00
159,7,3,8.00
159,12,1,130.00
160,11,3,120.00
160,5,3,2.50
161,8,3,225.00
161,1,2,250.00
161,5,1,2.50
161,12,3,130.00
162,5,3,2.50
162,5,1,2.50
162,1,3,250.00
162,4,1,25.00
163,11,1,120.00
164,8,3,225.00
164,11,1,120.00
165,6,3,3.00
165,1,2,250.00
165,5,1,2.50
165,2,2,350.00
166,12,1,130.00
167,12,1,130.00
168,12,1,130.00
169,12,2,130.00
170,7,3,8.00
170,5,1,2.50
170,2,1,350.00
171,10,3,125.00
171,12,1,130.00
171,1,3,250.00
171,11,2,120.00
172,6,1,3.00
172,1,3,250.00
172,11,3,120.00
173,1,2,250.00
173,1,3,250.00
173,6,1,3.00
173,11,3,120.00
174,7,1,8.00
175,9,1,180.00
175,8,2,225.00
175,1,2,250.00
176,2,3,350.00
176,8,1,225.00
177,8,3,225.00
177,6,1,3.00
177,5,2,2.50
178,11,2,120.00
179,5,2,2.50
179,1,3,250.00
179,11,1,120.00
180,7,2,8.00
180,6,2,3.00
180,5,3,2.50
181,6,1,3.00
181,12,3,130.00
181,2,3,350.00
182,7,2,8.00
182,4,2,25.00
182,4,3,25.00
183,12,3,130.00
183,4,1,25.00
183,8,1,225.00
183,1,3,250.00
184,5,3,2.50
184,1,1,250.00
184,10,2,125.00
185,5,1,2.50
185,8,1,225.00
186,9,2,180.00
187,11,2,120.00
187,1,3,250.00
188,7,1,8.00
188,4,1,25.00
188,10,2,125.00
189,1,1,250.00
189,3,1,100.00
189,12,2,130.00
189,1,1,250.00
190,10,1,125.00
190,2,2,350.00
190,11,2,120.00
191,12,1,130.00
191,2,2,350.00
191,9,1,180.00
191,5,3,2.50
192,10,3,125.00
192,12,3,130.00
192,7,2,8.00
193,9,2,180.00
193,4,2,25.00
193,5,3,2.50
194,4,2,25.00
194,1,1,250.00
195,2,1,350.00
195,7,2,8.00
195,12,1,130.00
195,5,3,2.50
196,4,3,25.00
197,4,3,25.00
197,2,1,350.00
198,2,2,350.00
199,11,2,120.00
199,11,1,120.00
199,11,3,120.00
199,6,2,3.00
200,4,2,25.00
201,10,1,125.00
201,2,2,350.00
202,5,2,2.50
202,11,2,120.00
202,4,2,25.00
203,10,3,125.00
203,9,3,180.00
203,11,3,120.00
203,7,1,8.00
204,8,1,225.00
204,2,1,350.00
204,7,2,8.00
204,12,1,130.00
205,4,3,25.00
205,10,3,125.00
205,7,3,8.00
205,6,2,3.00
206,5,2,2.50
206,5,1,2.50
206,4,1,25.00
207,4,1,25.00
207,1,2,250.00
208,1,1,250.00
208,11,1,120.00
209,7,3,8.00
209,6,3,3.00
210,1,2,250.00
210,9,1,180.00
210,1,1,250.00
210,12,1,130.00
211,9,3,180.00
212,5,1,2.50
212,8,1,225.00
213,7,2,8.00
213,4,1,25.00
213,2,1,350.00
213,7,3,8.00
