id_estudiante,id_clase,id_tipo_evaluacion,nota,fecha
1,79,1,73.49,2025-07-18
1,79,1,86.85,2025-02-28
1,79,5,64.61,2024-06-30
1,79,4,85.02,2025-02-20
1,79,3,62.97,2023-05-08
1,23,3,89.43,2024-10-12
1,23,2,94.52,2024-03-11
1,23,4,59.11,2023-10-05
1,23,5,90.85,2022-01-28
1,23,2,61.76,2021-03-03
1,65,2,53.38,2023-02-06
1,65,3,60.67,2024-12-21
1,65,3,40.90,2024-10-10
1,65,1,71.44,2025-05-23
1,65,2,79.59,2025-07-25
1,25,5,71.44,2023-10-23
1,25,2,77.93,2023-10-28
1,25,5,56.05,2023-09-22
1,25,5,66.60,2024-03-08
1,25,3,77.84,2024-03-07
2,97,1,71.37,2025-05-09
2,97,6,48.74,2023-11-02
2,97,6,66.73,2022-04-29
2,97,3,91.00,2021-08-10
2,97,4,66.30,2025-01-12
2,29,4,76.42,2023-04-12
2,29,4,61.33,2025-07-06
2,29,2,80.04,2022-01-05
2,29,5,83.42,2024-06-04
2,29,5,68.30,2022-08-21
2,90,6,96.60,2021-10-11
2,90,4,83.58,2021-09-22
2,90,2,62.18,2021-11-25
2,90,6,73.36,2021-08-21
2,90,5,71.00,2023-03-09
2,77,6,94.52,2025-06-10
2,77,2,44.03,2022-07-02
2,77,6,54.31,2024-11-23
2,77,4,64.10,2023-01-29
2,77,5,98.19,2022-09-25
3,25,4,56.12,2023-06-09
3,25,6,66.03,2024-05-12
3,25,5,54.00,2023-06-25
3,25,6,97.11,2024-01-15
3,25,1,51.56,2025-03-21
3,91,3,77.53,2023-12-15
3,91,1,80.91,2022-04-01
3,91,2,77.59,2024-10-23
3,91,3,73.18,2022-11-18
3,91,4,75.55,2022-04-08
3,82,5,85.08,2023-01-15
3,82,3,57.40,2022-05-24
3,82,6,65.38,2021-05-08
3,82,2,88.18,2022-05-14
3,82,6,50.66,2023-08-20
3,93,1,97.14,2022-08-12
3,93,6,73.49,2025-07-14
3,93,1,65.88,2023-04-06
3,93,3,82.50,2023-05-27
3,93,6,54.41,2022-01-31
4,96,2,83.09,2024-02-04
4,96,6,51.71,2025-07-20
4,96,6,79.23,2023-05-26
4,96,4,66.24,2022-07-23
4,96,5,88.00,2021-01-14
4,7,4,95.47,2025-05-20
4,7,2,52.54,2021-06-12
4,7,1,70.82,2022-12-20
4,7,4,75.28,2024-10-07
4,7,3,84.18,2024-01-25
4,55,2,42.03,2021-10-28
4,55,2,48.56,2021-12-26
4,55,2,63.16,2021-04-23
4,55,4,86.03,2024-11-05
4,55,3,70.18,2020-12-14
4,53,5,61.16,2025-03-02
4,53,5,94.07,2022-11-27
4,53,5,85.10,2022-07-06
4,53,1,99.02,2021-09-19
4,53,2,86.75,2021-09-02
5,22,1,74.59,2022-05-26
5,22,3,79.89,2021-09-04
5,22,3,64.36,2023-07-17
5,22,5,65.00,2021-03-31
5,22,4,73.56,2021-06-18
5,50,5,56.81,2025-02-26
5,50,1,98.97,2024-05-13
5,50,2,55.37,2021-01-17
5,50,3,96.28,2021-01-18
5,50,1,80.36,2021-11-12
5,10,3,80.32,2020-10-22
5,10,3,78.20,2024-02-15
5,10,4,98.06,2023-08-08
5,10,2,87.73,2022-01-18
5,10,2,56.22,2021-03-09
5,42,6,44.19,2025-03-05
5,42,3,62.51,2024-10-17
5,42,3,80.41,2025-01-08
5,42,5,92.04,2024-05-02
5,42,4,98.34,2025-05-21
6,53,6,66.43,2021-03-05
6,53,4,94.00,2021-07-08
6,53,3,81.09,2022-11-06
6,53,4,42.71,2023-06-09
6,53,2,85.79,2022-06-15
6,62,4,79.70,2021-08-02
6,62,4,61.40,2022-02-21
6,62,4,83.05,2023-04-30
6,62,6,75.39,2025-08-29
6,62,1,58.43,2021-09-14
6,3,1,46.53,2024-07-08
6,3,5,92.15,2025-06-02
6,3,1,84.66,2022-12-06
6,3,2,42.94,2021-07-24
6,3,4,44.89,2024-05-07
6,65,2,74.94,2021-06-06
6,65,6,58.05,2023-04-06
6,65,1,84.84,2024-02-08
6,65,1,62.91,2022-08-26
6,65,3,59.48,2024-04-06
7,86,5,75.34,2023-01-30
7,86,1,85.90,2023-08-13
7,86,4,45.58,2024-04-02
7,86,5,45.73,2024-02-26
7,86,3,65.11,2020-10-12
7,95,5,54.96,2024-07-21
7,95,6,85.58,2023-11-09
7,95,6,57.33,2023-06-11
7,95,6,78.42,2021-02-02
7,95,3,62.07,2023-11-25
7,50,1,66.28,2023-01-18
7,50,6,63.72,2024-04-04
7,50,2,64.83,2020-11-02
7,50,4,58.90,2023-09-24
7,50,6,44.84,2022-09-13
7,24,6,68.14,2025-07-14
7,24,4,82.95,2024-09-04
7,24,3,88.40,2023-04-27
7,24,6,48.58,2021-03-12
7,24,4,57.05,2023-05-02
8,63,4,64.59,2023-01-26
8,63,1,47.19,2023-07-11
8,63,6,62.99,2024-03-16
8,63,6,95.37,2021-10-31
8,63,5,65.15,2024-04-17
8,93,2,60.20,2021-06-05
8,93,4,56.07,2024-04-18
8,93,6,83.30,2024-05-25
8,93,3,87.96,2021-06-05
8,93,4,95.68,2024-12-19
8,6,4,85.97,2022-08-10
8,6,4,50.89,2023-02-10
8,6,1,42.58,2024-02-27
8,6,1,81.61,2024-07-22
8,6,1,97.62,2022-02-27
8,20,3,56.82,2022-07-19
8,20,5,48.23,2020-11-18
8,20,2,67.69,2025-02-05
8,20,2,90.38,2024-08-12
8,20,1,42.42,2024-06-13
9,53,6,52.22,2022-03-27
9,53,4,59.12,2024-10-08
9,53,6,52.28,2024-07-19
9,53,5,52.44,2024-12-02
9,53,1,79.44,2022-08-01
9,94,3,43.86,2022-12-06
9,94,4,47.21,2023-10-09
9,94,4,56.48,2024-11-17
9,94,3,67.23,2023-01-06
9,94,4,66.19,2022-07-16
9,67,6,80.34,2022-07-12
9,67,5,99.92,2021-03-19
9,67,3,50.67,2024-05-03
9,67,4,98.02,2025-08-02
9,67,6,54.27,2023-11-10
9,96,4,41.20,2023-06-27
9,96,6,90.86,2021-03-23
9,96,3,65.87,2022-02-26
9,96,3,67.21,2024-01-25
9,96,1,66.97,2022-12-18
10,76,1,49.45,2024-06-11
10,76,1,66.71,2021-09-18
10,76,4,45.39,2021-06-06
10,76,6,69.25,2022-05-05
10,76,6,87.22,2022-10-04
10,34,3,73.53,2022-10-09
10,34,3,67.03,2022-03-30
10,34,3,78.86,2020-10-28
10,34,5,49.27,2024-11-15
10,34,4,57.31,2020-09-29
10,65,6,49.03,2021-01-13
10,65,4,63.47,2023-05-19
10,65,5,71.61,2022-08-31
10,65,5,66.15,2022-09-28
10,65,6,85.67,2025-06-11
10,72,1,40.46,2023-08-19
10,72,1,82.96,2021-08-10
10,72,3,59.33,2020-11-12
10,72,3,42.66,2024-08-28
10,72,2,54.71,2023-11-10
11,67,3,92.47,2025-07-19
11,67,1,88.63,2024-12-27
11,67,5,46.87,2021-01-19
11,67,1,68.44,2022-03-20
11,67,6,68.68,2021-10-13
11,1,2,94.72,2024-10-20
11,1,1,44.42,2020-09-27
11,1,5,92.58,2024-04-12
11,1,5,54.05,2023-03-13
11,1,6,86.16,2025-06-23
11,75,5,64.61,2023-04-29
11,75,4,57.84,2022-07-20
11,75,2,41.60,2023-10-08
11,75,5,94.91,2022-07-06
11,75,1,69.75,2021-09-09
11,74,5,73.14,2022-10-02
11,74,3,41.01,2024-07-23
11,74,4,51.48,2022-12-23
11,74,4,99.34,2023-02-11
11,74,1,70.35,2024-07-05
12,81,5,70.31,2022-04-27
12,81,3,47.60,2025-04-04
12,81,3,73.02,2025-07-19
12,81,4,71.39,2023-06-05
12,81,3,69.76,2025-04-10
12,29,4,91.46,2022-10-11
12,29,3,40.32,2021-01-09
12,29,5,47.72,2023-01-26
12,29,1,69.72,2023-09-09
12,29,1,85.00,2021-10-23
12,92,2,56.00,2022-05-26
12,92,5,52.63,2022-08-18
12,92,6,61.49,2022-04-05
12,92,2,67.66,2022-07-24
12,92,5,68.88,2023-08-14
12,59,5,44.81,2025-08-12
12,59,2,84.55,2024-12-03
12,59,4,93.27,2024-10-16
12,59,3,45.67,2023-01-29
12,59,4,63.76,2025-04-27
13,7,5,51.22,2021-05-07
13,7,6,46.37,2022-04-29
13,7,2,43.92,2025-01-22
13,7,3,68.27,2024-09-23
13,7,5,92.15,2023-06-09
13,61,5,82.41,2025-03-29
13,61,4,52.57,2022-07-30
13,61,3,40.03,2025-07-26
13,61,1,98.19,2021-08-19
13,61,1,94.46,2023-07-15
13,58,2,56.86,2025-08-12
13,58,5,98.87,2023-02-28
13,58,6,82.02,2023-01-10
13,58,1,62.75,2025-04-26
13,58,2,90.51,2025-05-13
13,16,5,60.81,2023-11-09
13,16,5,81.05,2024-04-08
13,16,3,81.89,2021-09-27
13,16,6,49.84,2022-12-17
13,16,5,86.56,2023-07-29
14,16,5,68.52,2024-11-17
14,16,6,49.56,2025-03-17
14,16,4,56.30,2023-07-28
14,16,4,83.45,2023-06-15
14,16,3,50.51,2025-06-21
14,100,6,49.01,2021-08-16
14,100,2,46.80,2025-01-09
14,100,6,68.24,2024-05-26
14,100,4,52.75,2025-06-08
14,100,4,99.86,2021-04-17
14,29,2,80.52,2020-11-09
14,29,2,52.20,2024-12-18
14,29,5,77.78,2023-04-22
14,29,3,51.06,2022-03-24
14,29,3,65.47,2023-06-11
14,69,6,75.95,2022-11-20
14,69,2,97.17,2023-05-02
14,69,6,76.09,2020-09-26
14,69,3,50.48,2025-07-16
14,69,5,54.49,2020-10-14
15,28,1,53.94,2022-01-14
15,28,4,65.87,2023-08-12
15,28,4,46.97,2022-07-23
15,28,1,60.78,2025-06-07
15,28,1,96.23,2025-02-27
15,6,1,54.46,2025-03-08
15,6,4,47.19,2021-10-05
15,6,1,74.73,2020-11-19
15,6,5,86.42,2023-01-09
15,6,1,96.76,2023-03-03
15,7,4,72.39,2023-04-19
15,7,1,47.58,2022-12-20
15,7,3,92.44,2021-10-02
15,7,1,60.54,2024-07-15
15,7,5,47.53,2023-07-30
15,59,5,74.98,2021-09-25
15,59,1,62.28,2023-10-23
15,59,5,93.28,2023-06-01
15,59,5,89.24,2020-11-18
15,59,4,49.39,2022-09-20
16,25,1,71.65,2025-03-06
16,25,4,69.54,2021-01-04
16,25,4,47.18,2025-07-03
16,25,4,81.69,2025-07-29
16,25,2,68.25,2024-09-17
16,22,2,52.33,2020-11-26
16,22,6,81.12,2023-11-02
16,22,5,61.36,2023-05-10
16,22,3,95.96,2024-05-11
16,22,2,57.22,2022-12-22
16,46,4,47.88,2022-07-29
16,46,3,71.66,2022-12-03
16,46,2,86.80,2022-12-31
16,46,5,82.72,2025-01-25
16,46,2,51.17,2021-11-11
16,56,4,62.95,2024-05-26
16,56,5,83.74,2025-01-20
16,56,2,61.55,2020-11-22
16,56,6,67.22,2025-06-20
16,56,4,82.06,2023-01-30
17,49,6,68.52,2024-05-25
17,49,2,81.48,2021-10-13
17,49,3,49.25,2021-07-05
17,49,3,42.69,2025-01-28
17,49,1,72.17,2023-11-23
17,93,1,84.18,2022-03-23
17,93,2,92.96,2022-04-13
17,93,2,76.63,2020-12-16
17,93,6,97.50,2024-01-28
17,93,2,99.28,2022-04-19
17,64,3,70.10,2023-07-25
17,64,5,86.52,2020-10-29
17,64,3,96.94,2021-08-29
17,64,6,55.01,2022-11-13
17,64,2,88.75,2025-06-03
17,92,6,47.46,2025-01-11
17,92,1,92.42,2024-08-09
17,92,1,61.11,2024-09-22
17,92,4,82.87,2023-10-30
17,92,4,65.83,2021-12-29
18,27,2,97.29,2023-09-26
18,27,6,90.91,2024-10-02
18,27,6,71.00,2025-07-04
18,27,1,48.00,2022-11-10
18,27,6,87.64,2025-07-05
18,33,2,58.91,2023-03-03
18,33,3,52.80,2024-11-21
18,33,6,41.95,2021-10-13
18,33,4,81.94,2021-11-22
18,33,4,86.60,2021-03-05
18,29,4,73.54,2021-10-08
18,29,3,68.93,2021-02-17
18,29,6,92.34,2022-11-04
18,29,3,41.91,2024-04-10
18,29,1,92.95,2023-03-31
18,47,3,99.30,2022-01-06
18,47,3,77.41,2023-01-02
18,47,3,71.98,2022-01-25
18,47,1,84.90,2024-12-12
18,47,4,42.95,2025-03-24
19,12,2,41.64,2022-11-21
19,12,2,94.89,2025-08-12
19,12,5,93.06,2025-09-10
19,12,3,53.35,2020-10-11
19,12,3,83.82,2021-04-20
19,23,2,96.58,2024-08-13
19,23,4,74.89,2021-03-26
19,23,3,96.39,2022-08-30
19,23,4,54.99,2022-06-24
19,23,3,83.88,2025-05-22
19,27,2,68.85,2023-08-31
19,27,3,95.36,2023-11-29
19,27,6,55.07,2023-12-29
19,27,5,74.94,2021-10-17
19,27,4,92.34,2020-11-18
19,19,1,46.73,2020-12-07
19,19,4,79.58,2023-09-14
19,19,5,77.18,2022-05-27
19,19,4,57.01,2021-04-04
19,19,3,69.62,2021-05-31
20,51,1,50.12,2021-11-11
20,51,6,64.74,2023-01-02
20,51,4,73.24,2021-08-24
20,51,1,46.18,2024-07-15
20,51,1,97.61,2024-01-25
20,88,5,92.26,2022-10-07
20,88,1,51.74,2025-03-22
20,88,1,87.55,2021-02-06
20,88,1,55.24,2021-05-09
20,88,5,63.61,2023-11-25
20,7,1,81.32,2022-05-26
20,7,3,50.19,2025-07-27
20,7,3,47.62,2023-05-07
20,7,2,95.50,2021-05-10
20,7,2,42.12,2023-12-22
20,61,5,81.28,2023-12-28
20,61,4,88.05,2021-03-03
20,61,4,97.41,2022-12-02
20,61,2,70.96,2025-01-10
20,61,1,43.98,2025-05-05
21,54,1,99.91,2023-04-25
21,54,5,51.77,2020-12-08
21,54,4,65.50,2024-07-14
21,54,1,54.72,2022-04-03
21,54,5,57.69,2023-02-05
21,49,1,88.27,2024-07-09
21,49,3,80.30,2024-03-25
21,49,1,43.04,2020-12-08
21,49,3,96.94,2025-07-15
21,49,4,85.67,2024-01-04
21,13,4,91.69,2024-09-05
21,13,5,42.50,2022-12-18
21,13,4,77.02,2023-08-29
21,13,4,68.47,2022-06-12
21,13,5,86.32,2025-05-29
21,30,5,88.66,2022-11-20
21,30,2,77.50,2023-11-24
21,30,4,61.40,2024-11-13
21,30,6,61.49,2023-10-04
21,30,3,51.18,2024-11-13
22,94,6,92.02,2021-01-02
22,94,3,52.25,2022-09-26
22,94,3,48.36,2022-11-08
22,94,1,48.05,2023-08-01
22,94,4,52.61,2022-02-02
