id_estudiante,fecha,total
367,2022-07-07,617.50
888,2021-09-07,370.00
205,2020-10-10,625.00
2698,2022-11-05,660.00
426,2022-10-03,810.00
3276,2022-06-16,360.00
2358,2022-12-25,350.00
3952,2021-03-14,258.50
4484,2024-09-25,540.00
2952,2022-05-14,1125.00
2962,2023-10-28,621.00
1189,2021-01-18,756.00
4474,2020-10-29,182.50
1841,2025-07-03,8.00
78,2025-06-07,765.00
1840,2024-09-23,250.00
3395,2024-10-03,250.00
947,2021-05-29,120.00
2822,2023-11-06,250.00
2020,2022-11-23,1510.50
1032,2025-05-23,300.00
1677,2020-09-23,1103.00
3320,2021-09-25,300.00
3472,2025-06-24,125.00
3462,2020-11-06,1050.00
4311,2022-11-15,390.00
4627,2021-10-27,300.00
3778,2021-08-07,9.00
846,2024-05-04,1433.00
959,2023-01-14,710.00
3762,2022-06-14,880.00
3207,2020-10-03,360.00
3921,2022-12-03,350.00
3715,2022-12-03,434.00
1882,2024-01-14,375.00
3255,2023-04-04,24.00
4253,2020-12-13,1385.00
4262,2023-04-20,25.00
1098,2024-09-13,830.00
2090,2021-04-04,316.00
4824,2021-07-10,450.00
2407,2022-02-12,614.00
4846,2024-12-27,16.00
4654,2024-10-30,1700.00
1311,2023-01-30,192.00
3018,2023-08-31,125.00
2678,2024-05-28,635.00
1186,2022-11-27,2.50
3783,2025-05-29,740.50
4148,2025-03-06,540.00
4197,2023-09-27,800.00
3694,2021-02-07,1316.50
453,2024-09-11,182.50
2463,2021-11-07,49.00
969,2023-04-27,225.00
3954,2025-06-28,16.00
2397,2025-03-13,41.00
3038,2023-03-08,1150.00
1543,2023-02-07,3.00
2041,2021-10-20,713.00
2555,2023-08-12,915.00
2839,2022-11-09,440.00
4234,2020-12-17,670.00
3245,2024-01-26,187.00
2789,2023-07-15,1275.00
1372,2022-12-25,3.00
2134,2023-09-25,250.00
348,2022-06-26,569.00
3878,2024-03-20,250.00
3417,2023-04-08,250.00
43,2021-02-21,708.00
1923,2024-03-27,901.00
4742,2023-05-21,1575.00
833,2021-04-11,1655.00
4928,2022-05-11,148.50
740,2023-10-30,200.00
240,2023-05-09,170.00
4924,2024-05-29,867.50
3574,2022-11-06,7.50
845,2025-09-12,458.00
1967,2020-10-04,370.00
3382,2025-07-11,1055.00
4219,2024-12-06,459.00
3707,2025-01-25,330.00
908,2024-09-03,75.00
114,2023-05-23,675.00
1522,2023-05-20,2.50
281,2021-06-19,3.00
951,2020-11-06,31.50
4697,2024-12-19,1050.00
2258,2023-04-30,515.00
4676,2021-12-26,9.00
268,2025-06-26,1480.00
1189,2024-06-25,700.00
4780,2023-05-31,5.00
2538,2021-11-04,975.00
3144,2021-10-20,1120.00
2220,2023-05-09,707.50
4917,2025-02-28,1560.00
4687,2023-12-13,1160.00
4418,2024-07-14,390.00
4805,2024-08-29,810.00
2174,2020-09-14,1160.00
3629,2022-08-06,475.00
677,2022-09-29,1560.00
3762,2024-08-29,1773.00
2993,2021-06-27,618.50
3512,2024-06-01,1162.50
51,2021-08-16,2.50
1835,2023-04-10,1060.50
2776,2024-09-03,1005.00
164,2024-04-29,155.00
4326,2024-05-01,675.00
4910,2023-09-08,9.00
4531,2023-11-26,880.00
3251,2024-03-11,353.00
4196,2023-11-07,2.50
2348,2020-11-07,500.00
3601,2021-11-25,1885.00
372,2021-04-17,3.00
4796,2022-12-23,455.00
4111,2022-12-31,703.00
3162,2022-08-23,1811.50
1929,2020-12-01,7.50
3009,2024-02-14,1850.00
615,2024-07-25,675.00
2121,2024-01-07,480.00
4118,2022-11-09,540.00
4303,2022-09-14,360.00
619,2021-12-25,350.00
1696,2022-04-29,291.00
3118,2025-07-10,903.00
1398,2023-12-16,760.00
2494,2022-08-30,313.50
2916,2024-08-14,734.00
3454,2023-02-20,390.00
3070,2022-12-25,1050.00
796,2022-06-01,360.00
505,2021-05-17,495.00
1451,2020-10-14,1855.00
1640,2020-12-14,267.50
4485,2021-04-15,750.00
754,2022-10-19,430.00
2957,2021-03-25,950.00
4800,2021-10-01,915.00
4659,2022-04-19,5.00
3250,2020-11-02,360.00
409,2025-06-03,200.00
1932,2022-08-08,373.00
3280,2023-05-04,59.00
3765,2025-05-26,485.00
1883,2024-06-22,584.00
1238,2025-04-03,125.00
1893,2023-03-13,571.00
255,2025-03-05,1310.00
1273,2025-01-08,125.00
2417,2024-12-17,845.00
1576,2024-01-17,1045.00
2046,2024-07-06,154.00
4261,2024-03-21,367.50
3153,2025-07-18,1567.50
1510,2022-02-12,785.00
960,2022-08-18,120.00
1284,2024-12-20,795.00
2787,2022-06-09,1211.50
2238,2023-07-01,130.00
2814,2023-08-31,130.00
2198,2025-07-10,130.00
2220,2024-03-12,260.00
4711,2021-04-10,376.50
3482,2023-06-19,1495.00
2379,2021-02-20,1113.00
4522,2022-10-09,1613.00
4142,2021-04-29,8.00
3632,2024-07-25,1130.00
2401,2024-10-25,1275.00
2695,2023-01-21,683.00
879,2021-08-22,240.00
4339,2023-09-28,875.00
2700,2025-01-30,29.50
4906,2023-09-22,1443.00
2157,2021-08-17,141.00
3997,2024-09-19,1390.00
2434,2023-11-10,507.50
3337,2022-08-21,227.50
1490,2025-05-20,360.00
64,2023-03-01,990.00
1115,2021-07-29,283.00
2451,2023-02-03,860.00
4150,2025-06-21,1065.00
4315,2023-06-01,1017.50
625,2021-08-31,781.00
1194,2021-09-19,417.50
3523,2022-09-17,300.00
4413,2023-05-10,503.50
1235,2022-02-21,75.00
2289,2022-08-15,425.00
2489,2025-07-13,700.00
4782,2025-03-05,726.00
358,2022-07-25,50.00
89,2020-12-04,825.00
4156,2025-04-07,295.00
2350,2023-11-19,1283.00
4602,2020-09-22,721.00
3308,2022-05-10,480.00
2115,2020-09-29,32.50
839,2021-08-12,525.00
3189,2020-10-07,370.00
24,2020-12-27,33.00
2683,2022-06-23,1060.00
3963,2022-03-13,540.00
709,2023-08-24,227.50
539,2025-07-03,415.00
1229,2021-09-28,200.00
622,2022-05-08,1850.00
844,2023-08-18,1800.00
1519,2024-12-22,635.00
3030,2022-06-18,925.00
4687,2023-02-22,269.00
1560,2021-10-16,808.00
3431,2022-05-08,450.00
2731,2024-08-05,277.00
1551,2024-01-29,120.00
2374,2021-09-22,647.50
2208,2021-07-12,21.00
2647,2021-04-11,1150.00
983,2021-03-20,508.00
602,2023-03-13,99.00
3151,2023-04-20,799.00
3271,2021-03-02,125.00
3622,2022-11-14,200.00
344,2025-06-02,425.00
2129,2025-07-16,640.00
4806,2023-06-19,460.00
1282,2022-04-28,610.00
101,2020-12-19,700.00
4486,2025-02-03,8.00
3062,2021-10-01,1049.00
1239,2020-12-31,691.50
1463,2023-10-11,619.00
4721,2025-03-27,245.00
3997,2024-04-05,300.00
3799,2023-07-21,500.00
1280,2023-01-27,632.50
2132,2023-08-14,615.00
52,2020-11-15,220.00
2727,2021-05-03,1070.00
4088,2024-07-10,200.00
2247,2022-04-06,1798.00
4953,2024-05-14,575.00
2365,2024-10-16,366.50
3172,2021-11-08,835.00
3031,2021-08-28,1316.00
1049,2021-09-15,610.00
22,2023-04-24,930.00
2395,2022-11-19,992.50
4378,2022-07-27,180.00
4702,2021-05-12,576.00
4616,2023-08-11,6.00
2677,2022-06-29,490.00
1304,2023-06-19,610.00
3184,2023-06-18,8.00
4439,2025-07-01,850.00
3628,2022-03-17,468.00
4819,2024-05-03,478.00
4574,2025-08-27,479.00
4461,2024-08-23,370.00
46,2020-11-21,909.00
4311,2023-12-31,800.00
1776,2025-01-22,515.00
276,2021-09-02,365.50
809,2020-12-02,975.00
2508,2020-09-12,1441.00
1207,2025-08-14,130.00
4863,2022-03-17,1230.00
3460,2024-07-04,1800.00
4390,2021-12-19,300.00
112,2025-06-13,1140.00
1872,2021-05-06,130.00
1730,2025-04-18,300.00
1303,2021-01-27,316.00
2030,2020-12-03,1523.00
2486,2021-10-10,333.00
2871,2023-12-31,970.00
2643,2022-10-31,399.00
2847,2025-07-06,155.00
4376,2023-06-26,840.00
4975,2023-06-10,640.00
517,2022-06-09,24.00
4031,2022-02-09,360.00
2234,2024-06-27,378.00
1751,2021-11-20,24.00
3558,2023-05-06,1050.00
3537,2023-01-08,256.00
3527,2023-06-06,855.00
2794,2025-09-08,1174.00
3001,2025-05-15,1050.00
137,2025-03-07,676.00
2712,2024-04-19,200.00
4160,2021-04-20,540.00
3046,2023-08-07,350.00
2946,2024-12-18,1315.00
878,2021-08-01,550.00
3570,2022-02-23,554.00
2875,2022-10-13,120.00
1066,2022-10-23,950.00
1078,2024-02-16,990.00
2080,2025-08-10,1328.00
497,2022-08-29,650.00
3053,2025-01-04,1050.00
1782,2023-11-08,850.00
4650,2023-07-12,405.00
4922,2023-11-23,1074.00
2093,2024-06-05,606.00
4080,2022-07-21,739.00
3183,2024-05-26,6.00
494,2021-09-25,241.00
947,2022-07-09,123.00
2522,2021-07-27,675.00
1545,2021-02-05,459.00
205,2021-05-12,1017.50
2820,2020-09-13,9.00
1117,2023-07-20,540.00
1743,2021-03-13,26.50
1914,2021-06-03,725.00
3831,2021-09-24,1085.00
1401,2024-07-29,240.00
78,2022-04-28,1064.00
